id,ranking,dish,name,count,stars,full_address
1,1,general tso's chicken,China Kitchen,1.0,2.5,6608 Mineral Point Rd Madison  WI 53705
2,2,general tso's chicken,Great China,0.5,3.0,619 N Sherman Ave Madison  WI 53704
3,3,general tso's chicken,Wong's Garden,0.2727272727272727,3.5,2044 Atwood Ave Schenk - Atwood Madison  WI 53704
4,4,general tso's chicken,Chang Jiang Chinese Restaurant,0.25,2.5,646 S Gammon Rd Madison  WI 53719
5,5,general tso's chicken,Grand China,0.125,3.5,75 E Horizon Ridge Pkwy Ste 120 Henderson  NV 89002
6,6,general tso's chicken,Red Mansion,0.1111111111111111,3.5,Downtown Grand Casino and Hotel 206 N 3rd St Las Vegas  NV 89101
7,7,general tso's chicken,Kwan's Sampan,0.08333333333333333,2.5,1927 N Gilbert Rd Mesa  AZ 85203
8,8,general tso's chicken,China Grill,0.07407407407407407,3.5,7518 W Thunderbird Rd Ste 3 Peoria  AZ 85381
9,9,general tso's chicken,Flaming Wok,0.06666666666666667,3.5,4237 Lien Rd Ste H Mayfair Park Madison  WI 53704
10,10,general tso's chicken,Pumi Express,0.06666666666666667,2.5,6565 S Fort Apache Rd Spring Valley Las Vegas  NV 89148
11,11,general tso's chicken,8 fortune Chinese cuisine,0.05,4.0,13686 N 75th Ave Peoria  AZ 85381
12,12,general tso's chicken,China Chef,0.04,4.0,85 W Combs Rd Ste 110 Queen Creek  AZ 85240
13,13,general tso's chicken,Red Dragon Chinese Food,0.037037037037037035,3.5,2160 N Alma School Rd Chandler  AZ 85224
14,14,general tso's chicken,Beijing Restaurant,0.034482758620689655,4.0,2040 S Alma School Rd Ste 13 Chandler  AZ 85286
15,15,general tso's chicken,Flamingo Palace,0.03333333333333333,3.5,350 E Bell Rd Ste 3 Phoenix  AZ 85022
16,16,general tso's chicken,Chopstix,0.03225806451612903,3.5,2381 E Windmill Ln Southeast Las Vegas  NV 89123
17,17,general tso's chicken,Baidu China Bistro,0.03225806451612903,3.5,7625 S Rainbow Blvd Ste 100 Southwest Las Vegas  NV 89139
18,18,general tso's chicken,King Wong Chinese Food,0.02702702702702703,4.5,2545 N 32nd St Phoenix  AZ 85008
19,19,general tso's chicken,Dragon Noodle Co.,0.02564102564102564,2.5,Monte Carlo Resort & Casino 3770 Las Vegas Blvd S The Strip Las Vegas  NV 89109
20,20,general tso's chicken,Jade Palace,0.018867924528301886,4.0,23623 N Scottsdale Rd Scottsdale  AZ 85255
21,21,general tso's chicken,Pearl,0.014705882352941176,3.5,MGM Grand Hotel and Casino 3799 Las Vegas Blvd S Eastside Las Vegas  NV 89109
22,22,general tso's chicken,Jade Palace,0.013157894736842105,3.5,9160 E Shea Blvd Ste 101 Scottsdale  AZ 85260
23,23,general tso's chicken,Flo's,0.009433962264150943,3.5,15027 N Thompson Peak Pkwy Scottsdale  AZ 85260
24,24,general tso's chicken,Beijing Noodle Cafe,0.0072992700729927005,4.0,4130 S Sandhill Rd Eastside Las Vegas  NV 89121
25,25,general tso's chicken,P F Chang's China Bistro,0.007042253521126761,3.5,Planet Hollywood Resort & Casino 3667 Las Vegas Blvd The Strip Las Vegas  NV 89109
26,26,general tso's chicken,Veggie House,0.004830917874396135,4.5,5115 Spring Mountain Rd Ste 203 Chinatown Las Vegas  NV 89146
27,27,general tso's chicken,Orchids Garden Chinese Restaurant,0.004524886877828055,3.5,5485 W Sahara Ave Westside Las Vegas  NV 89146
28,28,general tso's chicken,Noodle Asia,0.004081632653061225,3.5,The Venetian 3355 Las Vegas Blvd S The Strip Las Vegas  NV 89109
29,1,chow mein,Flo's Shanghai Cafe,1.0,2.5,Sky Harbor International Airport Terminal 4 Phoenix  AZ 85034
30,2,chow mein,Panda Express,1.0,3.5,8495 S Power Rd Queen Creek  AZ 85142
